"subject_nr","correct","Typicality","group","Exemplar","MAD","AUC","RT","acc_max_time","xpos_flips"
1015,1,"Typical","click","Lachs",29.0753514483412,14261,1549,1260,0
1015,1,"Typical","click","Loewe",1089.18868082343,605769.5,1717,1300,1
1015,1,"Typical","click","Pferd",-13.377670351857,-2718,1295,942,0
1015,1,"Typical","click","Spatz",-92.210550585736,-32520.5,1277,820,1
1015,1,"Atypical","click","Aal",-93.0387327139256,-40501,1549,900,0
1015,1,"Atypical","click","Fledermaus",790.413685176798,393747,2038,1620,2
1015,1,"Atypical","click","Schmetterling",-127.169265309581,-70239,1525,1060,2
1015,1,"Atypical","click","Seeloewe",946.232158884878,443135.5,2261,2020,1
1015,1,"Atypical","click","Wal",1133.45258081561,19028,1813,1500,3
1016,0,"Typical","touch","Klapperschlange",305.204249428956,147226,3340,780,2
1016,1,"Typical","touch","Alligator",77.9320164105604,30331.5,1470,1300,1
1016,1,"Typical","touch","Chamaeleon",96.6112721573204,40945,1550,1460,2
1016,1,"Typical","touch","Falke",514.323708275501,265404,1040,450,2
1016,1,"Typical","touch","Goldfisch",43.4549951675348,17279.5,1370,1220,0
1016,1,"Typical","touch","Hai",84.3825387799023,33744.5,1630,1300,1
1016,1,"Typical","touch","Hund",20.2588252143858,7025.5,1110,1020,1
1016,1,"Typical","touch","Kaninchen",75.0104655872179,38283,860,700,0
1016,1,"Typical","touch","Katze",-48.31494385523,-7261,1340,1300,0
1016,1,"Typical","touch","Lachs",233.031686154643,137330.5,1350,980,2
1016,1,"Typical","touch","Loewe",94.8387583141381,59915.5,1060,910,0
1016,1,"Typical","touch","Pferd",214.189884788985,83042.5,1530,1220,1
1016,1,"Typical","touch","Spatz",432.62986192782,211416.5,1600,1070,1
1016,1,"Atypical","touch","Aal",232.052356251135,125171,1350,1220,1
1016,1,"Atypical","touch","Fledermaus",203.804977005838,101603.5,2700,1740,1
1016,1,"Atypical","touch","Pinguin",90.6237789279504,48865,1880,1860,1
1016,1,"Atypical","touch","Schmetterling",49.7713514819772,26703.5,1320,1190,0
1016,1,"Atypical","touch","Seeloewe",101.177523254287,41639.5,1930,1870,2
1016,1,"Atypical","touch","Wal",-93.9786055324775,-28225.5,1250,620,1
1017,1,"Typical","touch","Alligator",100.879350847528,60099,850,700,0
1017,1,"Typical","touch","Chamaeleon",-39.3919388714428,-19416,940,900,0
1017,1,"Typical","touch","Falke",-18.5890196640932,-3480.5,690,620,0
1017,1,"Typical","touch","Goldfisch",-26.2492786145204,-10364.5,790,740,0
1017,1,"Typical","touch","Hai",65.593538778651,37327,790,740,0
1017,1,"Typical","touch","Hund",54.1198059532728,42467.5,741,661,0
1017,1,"Typical","touch","Kaninchen",68.2834629637822,40245,1291,1141,1
1017,1,"Typical","touch","Katze",24.0159208835418,12941.5,830,780,0
1017,1,"Typical","touch","Klapperschlange",19.1525766960548,-800,1500,1460,0
1017,1,"Typical","touch","Lachs",34.7149248618222,16510,920,860,0
1017,1,"Typical","touch","Loewe",36.7150695861893,22797.5,671,621,0
1017,1,"Typical","touch","Pferd",-39.5599807786596,-22010,770,740,0
1017,1,"Typical","touch","Spatz",44.1592329895581,16322,1140,980,1
1017,1,"Atypical","touch","Aal",121.052094376091,82282,1168,1108,0
1017,1,"Atypical","touch","Fledermaus",261.243324920525,140780.5,1360,1340,1
1017,1,"Atypical","touch","Pinguin",80.4151666991459,49469.5,1190,940,0
1017,1,"Atypical","touch","Schmetterling",-38.3862770012753,-17825,1064,1014,0
1017,1,"Atypical","touch","Seeloewe",42.4138659408731,15662.5,1520,1180,1
1017,1,"Atypical","touch","Wal",-29.4224077876879,-17526,1169,1109,0
1018,0,"Typical","touch","Klapperschlange",99.0651708683342,52976.5,1650,990,0
1018,0,"Atypical","touch","Fledermaus",93.2499409917151,46710.5,1400,1060,2
1018,1,"Typical","touch","Alligator",32.4684007781942,9585.5,1250,1020,1
1018,1,"Typical","touch","Chamaeleon",34.8750489176452,18090.5,1390,1220,1
1018,1,"Typical","touch","Falke",-21.6504412720999,-815,1060,860,1
1018,1,"Typical","touch","Goldfisch",75.1751309551245,47296,1220,940,1
1018,1,"Typical","touch","Hai",58.1073414603458,32034.5,890,780,1
1018,1,"Typical","touch","Hund",69.8123682841426,43440.5,1130,980,3
1018,1,"Typical","touch","Kaninchen",-36.6,-7602.5,1462,1132,1
1018,1,"Typical","touch","Katze",100.659503066894,56633,790,660,0
1018,1,"Typical","touch","Lachs",16.3306001808113,9875,1150,980,0
1018,1,"Typical","touch","Loewe",-39.2641760895888,1812.5,1470,1220,0
1018,1,"Typical","touch","Pferd",58.2725658510646,29939.5,1300,900,0
1018,1,"Typical","touch","Spatz",62.3215326919396,34907,1270,1180,2
1018,1,"Atypical","touch","Aal",96.8537605189076,60786,1350,1300,2
1018,1,"Atypical","touch","Pinguin",69.2238655886387,46548.5,840,780,1
1018,1,"Atypical","touch","Schmetterling",1118.06626986813,134924.5,1920,1060,6
1018,1,"Atypical","touch","Seeloewe",11.1054212044608,3672,2892,2742,2
1018,1,"Atypical","touch","Wal",42.3411344455536,14475.5,1380,1140,3
